source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONT_ALTER_B,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_EXPENSE,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_EXPENSE_B,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_LEASE_OUT,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_LEASE_OUT_B,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_RENT_CALC,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_RENT_CALC_B,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_RENT_CALC_C,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_RENT_SETTLE,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_RENT_SETTLE_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_RESTORE,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_RESTORE_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_STOPRENT,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_STOPRENT_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_WORKLOAD,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_WORKLOAD_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AMPUB_COOPERSET,,0,0,2022-01-02 14:09:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AM_MESSAGENOTE,,4223,277,2026-04-15 22:22:59,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AM_PLUGINS,,79,7,2023-04-05 22:02:44,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ANTE_SS_LEXICON,,90617,560,2026-06-29 22:23:43,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_ESTIPAYABLEBILL,,523604,44237,2026-07-01 22:28:22,NNC_DATA01,财务,fact_or_business,included,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_ESTIPAYABLEITEM,,517537,61097,2026-06-01 22:49:46,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYABLEBILL,,25773,2477,2026-07-01 22:24:11,NNC_DATA01,财务,fact_or_business,included,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYABLEITEM,,576017,73239,2026-05-29 22:31:39,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYABLEITEM20230111,,27444,3021,2023-01-11 11:39:37,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYABLEITEM20230208,,31021,3500,2023-02-08 17:44:39,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYABLEITEM20230319,,37080,4322,2023-03-19 13:00:11,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYABLEITEM_20230108,,27444,3010,2023-01-10 09:47:14,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYBILL,,18120,1704,2026-07-02 22:31:13,NNC_DATA01,财务,fact_or_business,included,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYITEM,,214278,30156,2026-07-01 22:36:51,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
