source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason,column_count_in_current_file,has_primary_key,has_nonunique_index,cleanup_decision,cleanup_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UU5PN4F7,,1,28,2023-12-21 22:06:57,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UU61XRL0,,35,28,2024-01-10 22:13:43,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UU6475BD,,35,28,2024-01-10 22:13:25,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UUC82N7Y,,35,28,2024-01-10 22:09:28,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UUFHRLZS,,1,28,2023-12-21 22:06:20,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UUHF8JK8,,35,28,2024-01-10 22:19:55,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UUR7MIYK,,1,28,2023-12-21 22:04:20,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UUSR7G9I,,35,28,2024-01-10 22:14:11,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UUVRAXRC,,35,28,2024-01-10 22:17:11,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UUXEMMVK,,35,28,2024-02-01 22:08:01,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UUZZPATG,,35,28,2024-01-10 22:15:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UV1ENGZS,,35,28,2024-02-01 22:07:44,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UV29KNAC,,35,28,2024-02-01 22:09:29,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
