review_priority,suggested_action_code,source_bucket,owner,table_name,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,dependency_count,review_reason,cleanup_reason,manual_decision,manual_note
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_VMI_OUTDETAIL,583189,其他,17,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,AP_PAYABLEITEM,576017,其他,148,true,0,?????????????148??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PO_VMIFI,527738,其他,101,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,AP_ESTIPAYABLEITEM,517537,其他,146,true,0,?????????????146??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_MONTH_HAND,405796,其他,38,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PO_STOREREQ_B,403143,其他,130,true,0,?????????????130??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_PRINT_CELL,352065,其他,35,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ST_TRANSBUSIRECORD,339062,其他,18,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_GENERALOUT_E,338067,其他,9,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_WHSTRANS_B,321811,其他,81,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,COST_CALRESULT_B,320582,其他,34,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,DICO_COLCAL,320582,其他,20,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_GENERALIN_E,319577,其他,7,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_GENERALOUT_B,319144,其他,128,true,0,?????????????128??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_PURCHASEIN_E,255134,其他,15,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PAM_ALTER_SHEET,237934,其他,7,true,0,??????????,,,
