owner,table_name,index_name,uniqueness,column_name,column_position
HRPSEY656,ALO_RENT_SETTLE,I_ALO_RENT_SETTLE_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_RENT_SETTLE,I_ALO_RENT_SETTLE_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_RENT_SETTLE,I_ALO_RENT_SETTLE_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALO_RENT_SETTLE,PK_ALO_RENT_SETTLE,UNIQUE,PK_RENTSETTLE,1
HRPSEY656,ALO_RENT_SETTLE_B,I_ALO_RENT_SETTLE_B_1,NONUNIQUE,PK_RENTSETTLE,1
HRPSEY656,ALO_RENT_SETTLE_B,I_ALO_RENT_SETTLE_B_2,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALO_RENT_SETTLE_B,I_ALO_RENT_SETTLE_B_3,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALO_RENT_SETTLE_B,PK_O_RENT_SETTLE_B,UNIQUE,PK_RENTSETTLE_B,1
HRPSEY656,ALO_RESTORE,I_ALO_RESTORE_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_RESTORE,I_ALO_RESTORE_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_RESTORE,I_ALO_RESTORE_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALO_RESTORE,I_ALO_RESTORE_3,NONUNIQUE,COOPREATE_BILL,1
HRPSEY656,ALO_RESTORE,PK_ALO_RESTORE,UNIQUE,PK_LEASE_RESTORE,1
HRPSEY656,ALO_RESTORE_B,I_ALO_RESTORE_B_1,NONUNIQUE,PK_LEASE_RESTORE,1
HRPSEY656,ALO_RESTORE_B,I_ALO_RESTORE_B_2,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALO_RESTORE_B,I_ALO_RESTORE_B_3,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALO_RESTORE_B,PK_ALO_RESTORE_B,UNIQUE,PK_LEASE_RESTORE_B,1
HRPSEY656,ALO_STOPRENT,I_ALO_STOPRENT_1,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALO_STOPRENT,I_ALO_STOPRENT_2,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_STOPRENT,I_ALO_STOPRENT_2,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_STOPRENT,PK_ALO_STOPRENT,UNIQUE,PK_STOPRENT,1
HRPSEY656,ALO_STOPRENT_B,I_ALO_STOPRENT_B_1,NONUNIQUE,PK_STOPRENT,1
HRPSEY656,ALO_STOPRENT_B,I_ALO_STOPRENT_B_2,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALO_STOPRENT_B,I_ALO_STOPRENT_B_3,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALO_STOPRENT_B,PK_ALO_STOPRENT_B,UNIQUE,PK_STOPRENT_B,1
HRPSEY656,ALO_WORKLOAD,I_ALO_WORKLOAD_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_WORKLOAD,I_ALO_WORKLOAD_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_WORKLOAD,I_ALO_WORKLOAD_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALO_WORKLOAD,PK_ALO_WORKLOAD,UNIQUE,PK_WORKLOAD,1
HRPSEY656,ALO_WORKLOAD_B,I_ALO_WORKLOAD_B_1,NONUNIQUE,PK_WORKLOAD,1
HRPSEY656,ALO_WORKLOAD_B,I_ALO_WORKLOAD_B_2,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALO_WORKLOAD_B,I_ALO_WORKLOAD_B_3,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALO_WORKLOAD_B,PK_ALO_WORKLOAD_B,UNIQUE,PK_WORKLOAD_B,1
HRPSEY656,AMPUB_COOPERSET,PK_AMPUB_COOPERSET,UNIQUE,PK_COOPERSET,1
