source_system,source_db,owner,table_name,num_rows_stats,inferred_domain,cleanup_decision,column_count_in_current_file,pii_like_columns,semantic_summary,recommendation,reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2383Q_1146,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_23XJW_1418,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_25Q90_1001,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_27DUR_0915,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_27F3U_1035,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_292JJ_0039,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_294ZU_1522,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2B0NK_1542,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2BN22_1139,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2CDZC_1233,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2EC0X_1057,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2F7L7_0947,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2IVPL_0823,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2K8R2_1537,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2LO41_1710,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2MDXV_1610,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2O40A_2014,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2P0NZ_0900,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2V5TN_0037,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2VUED_1613,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2X4X3_1609,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
