review_priority,suggested_action_code,owner,table_name,table_comment,num_rows_stats,inferred_domain_refined,column_count_in_current_file,has_primary_key,dependency_count,low_row_decision,low_row_reason
P1,REVIEW_INCLUDE,HRPSEY656,CODC_DEPTLEVELDATA_B,,273,科室/组织,33,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_DEPTSTRUMEM_V,,233,科室/组织,8,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,OM_DEPTHISTORY,,225,科室/组织,22,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_ORGS_V,,155,科室/组织,129,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BM_DEPTPOWER,,147,科室/组织,35,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_ORGTYPESERVICE,,66,科室/组织,8,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,FIP_ORGRULE,,50,科室/组织,13,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_PLANBUDGET,,40,科室/组织,58,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_BOSMEMBER,,39,科室/组织,25,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_BOSMEMBER_V,,39,科室/组织,25,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_BSSMEMBER,,39,科室/组织,25,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_BSSMEMBER_V,,39,科室/组织,25,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_PLANBUDGET_V,,37,科室/组织,58,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,TB_MD_TASKORG,,35,科室/组织,11,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_ALERTREGISTRY_ORG,,21,科室/组织,5,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_ASSOCIATERULE,,18,科室/组织,23,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_ASSOCIATEATTR,,17,科室/组织,12,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_CHECKITEM,,16,科室/组织,29,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_RELATIONTYPE,,15,科室/组织,25,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_RTYPELEFTTYPE,,15,科室/组织,16,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_ORGMANAGER,,13,科室/组织,13,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_SSCBUSIUNITCLIENTAGE,,12,科室/组织,5,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,COPRO_DEPTCOST_H,,10,科室/组织,53,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_ASSOCIATEENT,,10,科室/组织,15,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_MODULEPERIOD,,8,科室/组织,6,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,ORG_CHECKTYPE,,7,科室/组织,20,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,ORG_SSCBUSINESSUNITTYPE,,6,科室/组织,12,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,PUB_PARAORGTYPELIMIT,,4,科室/组织,9,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,ORG_OT_RULETYPE,,3,科室/组织,7,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,CODC_DEPTLEVELDATA,,1,科室/组织,48,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,ORG_SSCTYPE,,1,科室/组织,10,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,BI_SCHD_JOBQUEUE,,2801,岗位/职务,16,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,OM_JOBRANK,,29,岗位/职务,22,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,OM_POSTSERIES,,20,岗位/职务,27,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,OM_JOBLEVEL,,19,岗位/职务,12,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PO_POSITION_B,,10,岗位/职务,13,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,OM_JOBTYPE,,4,岗位/职务,30,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,OM_JOBLEVELSYS,,3,岗位/职务,19,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,CODRG_ACCOUNTMODEL_B,,134163,用户账号,40,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CODC_ACCOUNTMODEL_B,,12425,用户账号,40,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ER_EXPENSEACCOUNT,,3423,用户账号,87,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_USER_ROLE,,3284,用户账号,10,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_USERDEFRULE,,1235,用户账号,22,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_ACCOUNT20230101,,1230,用户账号,42,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_USERDEFRULEREF,,1224,用户账号,12,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_USERPWDLOG,,1162,用户账号,6,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_USERPASSWORD,,976,用户账号,5,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_USER_GROUP,,923,用户账号,5,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_USER,,922,用户账号,42,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,IM_USER,,915,用户账号,22,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_USERROLE,,862,用户账号,7,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,FIPUB_ACCOUNTCOMP_B,,837,用户账号,38,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,IM_USER_BAK,,519,用户账号,22,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_USER_EX,,487,用户账号,8,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_USERDEFITEM,,408,用户账号,27,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_ROLE,,160,用户账号,22,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,TB_USERPROFILE,,70,用户账号,6,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CPB_LOGIN_LOG,,41,用户账号,15,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_ADMIN_ROLEGROUP,,34,用户账号,7,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_ADMIN_USERGROUP,,32,用户账号,7,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_PERMUSERELENTRY,,19,用户账号,5,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WFM_VIRTUALROLE,,15,用户账号,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_ROLE_GROUP,,11,用户账号,20,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CODRG_ACCOUNTMODEL_H,,10,用户账号,51,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_DATAPOOL_B,,3906,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_AMOBASE,,1710,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_PERIODSTATE,,384,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_PAYDATADSP,,375,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_CRITERION,,201,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_PRMLV,,201,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_ITEMNUM,,200,薪酬/绩效,0,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_AMOFACTOR,,152,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_AMOSCHEME,,152,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_TAXITEM,,99,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_CLSPOWER,,84,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_PERIOD,,48,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_TAXTABLE,,30,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_TAXRPTITEM,,25,薪酬/绩效,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,WA_GRADE,,7,薪酬/绩效,0,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,WA_GRADE_VER,,7,薪酬/绩效,0,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,WA_PERIODSCHEME,,2,薪酬/绩效,0,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,WA_REFCATEGORY,,2,薪酬/绩效,0,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,IC_INVCOUNT_B,,474593,供应商/物资,85,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,EXPORT_HCCK202307202506,,409153,供应商/物资,13,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,EXPORT_HCCK20250902,,393704,供应商/物资,13,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PURP_SUPPLIERPRICE,,374876,供应商/物资,79,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SCM_INVQUALIFI_B,,281430,供应商/物资,44,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,EXPORT_HCRK202307202506,,272863,供应商/物资,12,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,EXPORT_HCRK20250902,,64552,供应商/物资,12,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_MATERIALFI,,60908,供应商/物资,36,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_MATERIALPLAN,,60272,供应商/物资,92,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,DC_STOCK_B,,44878,供应商/物资,34,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_MATERIALCONVERT,,39738,供应商/物资,27,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_MATERIALPU,,37983,供应商/物资,43,true,0,not_applied,
