schema,table,domain,classify_reason,referenced_by_ods_view_count,referenced_by_ods_views,row_count_stats,column_count,comment
HIS,PAT_MASTER_INDEX,患者主数据,curated_exact,69,CDR_MEDICAL_DIAG|CDR_PATIENT_INFO|EMR_DISCHARGE_RECORD_DIAGNOSIS|EMR_HOS_CHANGE_MAJOR_RECORD|INPAT_LIST|INP_INFO114|PAT_VIEW|PL_SFXMMX|SM_HZSJ|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_DIAGNOSIS|V_EMR_ADMISSION_RECORD|V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_CONSUMABLES|V_EMR_DEATH_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_DOC_ORDER_CHECK|V_EMR_DOC_ORDER_DRUG,1939319,113,病人主索引
HIS,OPERATION,手术,curated_exact,14,V_BI_ZYSS|V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_ICH_OPERATION|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING|V_EMR_OPERA_RECORD|V_EMR_REFERRAL_HOS_RECORD|V_ESBHL_CHECK_ROD|V_ESBHL_INPUT_CASE_FIRP|V_ESBHL_OUTPUT_SUMMARY,527895,31,手术记录
HIS,CONSULTATION_DOCTOR_DETAIL,电子病历,ods_view_context:EMR_HOS/CDR_EMR/EPR/JHMR,1,V_EMR_HOS_CONSUL_RECORD,456577,16,会诊子表
HIS,CONSULTATION_DOCTOR_MASTER,电子病历,ods_view_context:EMR_HOS/CDR_EMR/EPR/JHMR,1,V_EMR_HOS_CONSUL_RECORD,456265,18,会诊主表
HIS,OUTP_MR,门诊,curated_exact,4,CDR_OUTPATIENT_DIAG|V_EMR_OUTPATIENT_DIAG|V_EMR_OUTPATIENT_DIAG_BAK|V_EMR_OUTPATIENT_RECORD,5684755,43,门诊病历记录
HIS,OUTP_ORDERS,医嘱,name_pattern:ORDER/ORDERS,0,,11768337,17,门诊医嘱主记录
HIS,DIAGNOSIS_DICT,诊断,name_pattern:DIAG,1,CDR_APPLY,50220,34,疾病字典
HIS,CLINIC_VS_CHARGE,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,23771,12,临床诊疗项目与价表项目对照表
HIS,STAFF_GROUP_DICT,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,1,PL_SFXMMX,555,7,工作组字典
HIS,EXAM_REPORT,检查,curated_exact,2,TJZRBL|V_EMR_ADMISSION_RECORD_EXAM,1314456,14,检查报告
HIS,CDA_DICTIONARY,字典,name_pattern:DICT/CODE/MAP,0,,39730,6,
HIS,PAT_MASTER_RENAME_LOG,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,12253,9,修改姓名记录表
HIS,OUTP_ORDER_DESC,检验,ods_view_context:LAB/INSPECTION/JY_/ESBHL_INSPECTION,4,V_EMR_INSPECTION_ITEM_TEST|V_EMR_INSPECTION_TEST|V_EMR_OUT_FEE_INFO_CHILD|V_EMR_OUT_FEE_INFO_MAIN,13056770,13,开单记录
HIS,OUTP_TREAT_REC,费用,ods_view_context:FEE/CHARGE/BILL,1,V_EMR_OUT_FEE_INFO_CHILD,10906462,37,检查治疗医嘱明细记录
HIS,DRUG_DISPENSE_REC_MASTER,药品,name_pattern:DRUG/PHARM/MEDICINE,1,KFY_DETAIL,2725733,9,医嘱打印记录表
HIS,DRUG_PRESC_DETAIL,门诊,ods_view_context:OUTPATIENT/OUT_PRESCRIPTION/MZ,3,V_EMR_OUTPATIENT_RECIPE|V_EMR_OUTPATIENT_RECIPE_BAK|V_EMR_OUTPATIENT_RECIPE_ITEM,15510667,35,药品处方明细记录
HIS,DEPT_VS_WARD_NEW,科室/组织,name_pattern:DEPT/WARD/BED/ROOM,0,,228,3,临床科室与病房（区）对照
HIS,RECK_ITEM_CLASS_DICT,字典,name_pattern:DICT/CODE/MAP,1,PL_SFXMMX,33,9,核算项目分类字典
HIS,DIAGNOSIS_EMR,诊断,name_pattern:DIAG,0,,181305,12,
HIS,SETTLE_ZY_REC,费用,name_pattern:BILL/FEE/CHARGE/PRICE/COST/PAY/SETTLE/RCPT,0,,305341,33,
HIS,CLINIC_RETURNED_ACCT,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,86561,24,挂号结帐主记录
HIS,OUTP_BILL_ITEMS,门诊费用,curated_exact,3,PL_SFXMMX|V_EMR_OUT_FEE_INFO_CHILD|V_EMR_OUT_FEE_INFO_MAIN,28614987,64,门诊病人诊疗费用项目
HIS,STAT_WARD_MODIFYFIX,科室/组织,name_pattern:DEPT/WARD/BED/ROOM,0,,39,12,
HIS,PATIENT_STATUS_DICT,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,3,4,病情状态字典
HIS,LAB_TEST_MASTER,检验,curated_exact,6,CDR_APPLY|V_BI_ZYJYSQ|V_EMR_INSPECTION_ALLERGY_TEST|V_EMR_INSPECTION_ITEM_TEST|V_EMR_INSPECTION_TEST|V_ESBHL_INSPECTION_ROD,9134900,49,检验主记录
HIS,DRUG_DISPENSE_REC,药品,name_pattern:DRUG/PHARM/MEDICINE,1,KFY_DETAIL,47120278,30,摆药记录
HIS,DEPT_DICT,科室字典,curated_exact,61,CDR_ADMISSION_INFO|CDR_APPLY|CDR_HOSPITAL|CDR_HOSPITAL_ORDER|CDR_MEDICAL|CDR_MEDICAL_DIAG|CDR_OUTPATIENT_DIAG|CDR_OUTPATIENT_VISIT|CDR_OUT_PRESCRIPTION|EMR_HOS_CHANGE_MAJOR_RECORD|INPAT_LIST|LAB_REPORT|PAT_VIEW|PL_SFXMMX|V_BI_MZGH|V_BI_ZYJCSQ|V_BI_ZYJYSQ|V_BI_ZYSS|V_BI_ZYYZ|V_BI_ZYYZJE,815,46,科室字典
HIS,PRICE_LIST,费用,ods_view_context:FEE/CHARGE/BILL,3,V_EMR_IN_FEE_INFO_CHILD|V_EMR_OUT_FEE_INFO_CHILD|V_EMR_OUT_FEE_INFO_MAIN,99554,46,价表
HIS,AREA_DICT,字典,name_pattern:DICT/CODE/MAP,2,CDR_MEDICAL|CDR_PATIENT_INFO,3027,11,行政区字典
HIS,CLINIC_ITEM_DICT,检验,ods_view_context:LAB/INSPECTION/JY_/ESBHL_INSPECTION,2,V_EMR_INSPECTION_ALLERGY_TEST|V_EMR_INSPECTION_TEST,19062,32,临床诊疗项目字典
HIS,DOCTOR_GROUP,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,1,PL_SFXMMX,1150,7,
HIS,LAB_RESULT,检验,curated_exact,2,V_EMR_INSPECTION_ALLERGY_TEST|V_EMR_INSPECTION_ITEM_TEST,96312418,26,检验结果
HIS,PAT_VISIT,就诊,curated_exact,62,CDR_APPLY|CDR_HOSPITAL|CDR_HOSPITAL_ORDER|CDR_MEDICAL|CDR_MEDICAL_DIAG|EMR_DISCHARGE_RECORD_DIAGNOSIS|EMR_HOS_CHANGE_MAJOR_RECORD|INP_INFO114|PAT_VIEW|V_BI_ZYSS|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_DIAGNOSIS|V_EMR_ADMISSION_RECORD|V_EMR_ADMISSION_RECORD_EXAM|V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_ANES_RECORD_BLOOD|V_EMR_ANES_RECORD_MED|V_EMR_BOFORE_OPERA_RECORD|V_EMR_CONSUMABLES,575041,268,病人住院主记录
HIS,MR_BASE_DICT,字典,name_pattern:DICT/CODE/MAP,1,CDR_PATIENT_INFO,573,5,病案接口公共编码字典
HIS,DRUG_PRESC_MASTER,门诊,ods_view_context:OUTPATIENT/OUT_PRESCRIPTION/MZ,5,CDR_OUT_PRESCRIPTION|V_EMR_OUTPATIENT_RECIPE|V_EMR_OUTPATIENT_RECIPE_BAK|V_EMR_OUTPATIENT_RECIPE_ITEM|V_ESBHL_CHINESE_MEDI_PRES,6215528,60,药品处方主记录
HIS,OPERATION_MASTER,手术,name_pattern:OPER/SURG,0,,198941,46,手术信息
HIS,STAT_VS_CHARGE_TYPE,费用,name_pattern:BILL/FEE/CHARGE/PRICE/COST/PAY/SETTLE/RCPT,0,,16,9,卫统5医保接口用医疗付款方式(停用，启用新表)
HIS,CLINIC_MASTER,门诊,curated_exact,14,CDR_APPLY|CDR_CHECK_REPORT_XD|CDR_MEDICAL_DIAG|CDR_OUTPATIENT_VISIT|PAT_VIEW|PL_SFXMMX|V_BI_MZGH|V_EMR_OUTPATIENT_DIAG|V_EMR_OUTPATIENT_DIAG_BAK|V_EMR_OUTPATIENT_RECIPE|V_EMR_OUTPATIENT_RECIPE_BAK|V_EMR_OUTPATIENT_RECIPE_ITEM|V_EMR_OUTPATIENT_RECORD|V_EMR_OUTPATIENT_REGISTER,5642875,94,就诊记录
HIS,OUTP_RCPT_MASTER,门诊费用,curated_exact,3,V_EMR_OUTPATIENT_RECORD|V_EMR_OUT_FEE_INFO_CHILD|V_EMR_OUT_FEE_INFO_MAIN,9819756,56,门诊医疗收据记录
HIS,ADMINISTRATION_DICT,门诊,ods_view_context:OUTPATIENT/OUT_PRESCRIPTION/MZ,1,CDR_OUT_PRESCRIPTION,108,11,给药途径字典
HIS,SPECIMAN_DICT,字典,name_pattern:DICT/CODE/MAP,0,,240,12,标本字典
HIS,LAB_TEST_ITEMS,检验,curated_exact,3,V_EMR_INSPECTION_ALLERGY_TEST|V_EMR_INSPECTION_ITEM_TEST|V_EMR_INSPECTION_TEST,9602577,16,检验项目
HIS,STAFF_DICT,人员字典,curated_exact,57,CDR_APPLY|CDR_HOSPITAL|CDR_HOSPITAL_ORDER|CDR_MEDICAL|CDR_MEDICAL_DIAG|CDR_OUTPATIENT_VISIT|EMR_HOS_CHANGE_MAJOR_RECORD|INP_INFO114|JC_DETAIL|JY_DETAIL|KFY_DETAIL|PL_SFXMMX|V_AI_ZKUSER|V_BI_MZGH|V_BI_ZYJCSQ|V_BI_ZYJYSQ|V_BI_ZYSS|V_BI_ZYYZ|V_BI_ZYYZJE|V_EMR_ADMISSION_DEAD_RECORD_TF,4216,30,工作人员字典
HIS,FLJL_copy1,未分类,no_rule,0,,2509,34,
HIS,病房床位费,未分类,no_rule,0,,0,14,
HIS,住院诊查费,未分类,no_rule,0,,0,14,
HIS,基础护理费,未分类,no_rule,0,,0,14,
HIS,防褥疮气垫加收费用,未分类,no_rule,0,,0,15,
HIS,氧气吸入费用,未分类,no_rule,0,,0,19,
HIS,血氧饱和度监测,未分类,no_rule,0,,0,19,
HIS,心电监测费用,未分类,no_rule,0,,0,19,
HIS,收取疾病健康教育费用,未分类,no_rule,0,,0,29,
HIS,收取高流量湿化氧疗费用同时收取,未分类,no_rule,0,,0,22,
HIS,收取疼痛综合评估费用,未分类,no_rule,0,,0,29,
HIS,胃肠减压费用,未分类,no_rule,0,,0,28,
HIS,ACT监测大于1次,未分类,no_rule,0,,0,28,
HIS,心外科收取手术项下ACT监测费用,未分类,no_rule,0,,0,32,
HIS,编码33手术项目中项目名称带腹腔,未分类,no_rule,0,,0,31,
HIS,收取麻醉中监测费用同时收,未分类,no_rule,0,,0,30,
HIS,收取冷光源治疗费用,未分类,no_rule,0,,0,27,
HIS,收取一次性使用呼吸过滤器费用,未分类,no_rule,0,,0,30,
HIS,收取高频电刀使用费用,未分类,no_rule,0,,0,27,
HIS,未使用双极电凝镊收取费用住院,未分类,no_rule,0,,0,29,
HIS,未使用双极电凝镊收取费用门诊,未分类,no_rule,0,,0,24,
HIS,收取高频电刀使用费用同时收取双,未分类,no_rule,0,,0,30,
HIS,收取尿常规检查加沉渣费用住院,未分类,no_rule,0,,0,39,
HIS,收取尿常规检查加沉渣费用门诊,未分类,no_rule,0,,0,33,
HIS,收取粪便常规费用同时收取隐血试,未分类,no_rule,0,,0,32,
HIS,快速石蜡切片检查住院,未分类,no_rule,0,,0,26,
HIS,快速石蜡切片检查门诊,未分类,no_rule,0,,0,22,
HIS,收射频消融术同时收彩色多普勒超,未分类,no_rule,0,,0,28,
HIS,纤维结肠镜检查住院,未分类,no_rule,0,,0,27,
HIS,纤维结肠镜检查门诊,未分类,no_rule,0,,0,21,
HIS,纤维胃十二指肠镜检查门诊,未分类,no_rule,0,,0,21,
HIS,纤维胃十二指肠镜检查住院,未分类,no_rule,0,,0,27,
HIS,SYS_USER_ROLE,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,0,,0,3,用户角色关系维护表
HIS,BI_INP_BILL_DAY_DOCTOR_SUM,费用,name_pattern:BILL/FEE/CHARGE/PRICE/COST/PAY/SETTLE/RCPT,0,,0,7,
HIS,zy_register_log,未分类,no_rule,0,,0,11,HIS 医保登记日志
HIS,11111,未分类,no_rule,0,,0,4,
HIS,DATA_EXT_TEMP,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,0,,0,6,
HIS,LIS_EXAMINE_ITEM_MAP,检验映射,curated_exact,1,V_EMR_INSPECTION_ITEM_TEST,4698,10,LIS本地检验项目与平台检验项目值域对照表
HIS,PUB_SKIN_TEST,检验,name_pattern:LAB/TEST,0,,0,24,皮试记录
HIS,纤维结肠镜检查住院_新,未分类,no_rule,0,,0,25,
HIS,纤维胃十二指肠镜检查住院_新,未分类,no_rule,0,,0,25,
HIS,快速石蜡切片检查住院_新,未分类,no_rule,0,,0,24,
HIS,DISPOSAL_LOG,未分类,no_rule,0,,0,11,护士站处置操作日志
HIS,py_temp,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,0,,0,355,
