source_db,source_owner,table_name,full_name,domain,table_role,include_status,exclude_reason,include_note,num_rows_stats,column_count,primary_key,ods_same_name_covered,ods_field_coverage_ratio
10.10.10.15:1521/his,COMM,DOCTOR_EXPLAIN_DICT,COMM.DOCTOR_EXPLAIN_DICT,组织人员,dimension,included,,基础字典/维表,12,6,DEPT_CODE+EXPLAIN_TEXT,false,0
10.10.10.15:1521/his,COMM,DOCTOR_GROUP,COMM.DOCTOR_GROUP,组织人员,dimension,included,,基础字典/维表,1150,7,DOCTOR_USER,true,1.0
10.10.10.15:1521/his,COMM,DOCTOR_LEVEL_VS_PRICE,COMM.DOCTOR_LEVEL_VS_PRICE,费用,dimension,included,,基础字典/维表,30,5,ID,false,0
10.10.10.15:1521/his,COMM,DOCTOR_MASTER_YB,COMM.DOCTOR_MASTER_YB,组织人员,dimension,included,,基础字典/维表,451,23,,false,0
10.10.10.15:1521/his,COMM,DOCTOR_TITLE_DICT,COMM.DOCTOR_TITLE_DICT,组织人员,dimension,included,,基础字典/维表,5,4,TITLE_NAME,false,0
10.10.10.15:1521/his,COMM,DOSAGE_UNITS_DICT,COMM.DOSAGE_UNITS_DICT,字典,dimension,included,,基础字典/维表,71,5,DOSAGE_UNITS,false,0
10.10.10.15:1521/his,COMM,DRUG_ANTIBIOSIS_DICT,COMM.DRUG_ANTIBIOSIS_DICT,药品,dimension,included,,基础字典/维表,84,6,DRUG_CODE+DRUG_NAME+DRUG_SPEC,false,0
10.10.10.15:1521/his,COMM,DRUG_CHAXUN1_FANCY,COMM.DRUG_CHAXUN1_FANCY,药品,dimension,included,,基础字典/维表,503,5,XH,false,0
10.10.10.15:1521/his,COMM,DRUG_CHAXUN1_FANCY1,COMM.DRUG_CHAXUN1_FANCY1,药品,dimension,included,,基础字典/维表,20,5,XH,false,0
10.10.10.15:1521/his,COMM,DRUG_CHAXUN1_FANCY2,COMM.DRUG_CHAXUN1_FANCY2,药品,dimension,included,,基础字典/维表,80,5,XH,false,0
10.10.10.15:1521/his,COMM,DRUG_CLASS_DICT,COMM.DRUG_CLASS_DICT,药品,dimension,included,,基础字典/维表,357,2,CLASS_CODE,false,0
10.10.10.15:1521/his,COMM,DRUG_CODING_RULE,COMM.DRUG_CODING_RULE,药品,dimension,included,,基础字典/维表,5,3,CODE_LEVEL,false,0
10.10.10.15:1521/his,COMM,DRUG_DICT,COMM.DRUG_DICT,药品,dimension,included,,基础字典/维表,5962,21,DRUG_CODE+DRUG_SPEC+DRUG_INDICATOR,true,1.0
10.10.10.15:1521/his,COMM,DRUG_DISP_PROPERTY_DICT,COMM.DRUG_DISP_PROPERTY_DICT,药品,dimension,included,,基础字典/维表,8,3,DISPENSING_PROPERTY,false,0
10.10.10.15:1521/his,COMM,DRUG_EXPORT_CLASS_DICT,COMM.DRUG_EXPORT_CLASS_DICT,药品,dimension,included,,基础字典/维表,14,7,EXPORT_CLASS,false,0
10.10.10.15:1521/his,COMM,DRUG_FORM_DICT,COMM.DRUG_FORM_DICT,药品,dimension,included,,基础字典/维表,65,7,FORM_CODE,false,0
10.10.10.15:1521/his,COMM,DRUG_HIS_VS_HLW,COMM.DRUG_HIS_VS_HLW,药品,dimension,included,,基础字典/维表,504,7,DRUG_CODE+DRUG_SPEC+DRUG_UNITS+FIRM_ID,false,0
10.10.10.15:1521/his,COMM,DRUG_IMPORT_CLASS_DICT,COMM.DRUG_IMPORT_CLASS_DICT,药品,dimension,included,,基础字典/维表,11,6,IMPORT_CLASS,false,0
10.10.10.15:1521/his,COMM,DRUG_INCOMPATIBILITY,COMM.DRUG_INCOMPATIBILITY,药品,dimension,included,,基础字典/维表,0,3,DRUG_A_CODE+DRUG_B_CODE,false,0
10.10.10.15:1521/his,COMM,DRUG_INFO,COMM.DRUG_INFO,药品,dimension,included,,基础字典/维表,249,13,DRUG_CODE,false,0
10.10.10.15:1521/his,COMM,DRUG_LIMIT,COMM.DRUG_LIMIT,药品,dimension,included,,基础字典/维表,32,2,,false,0
