system_code,source_code,schema_name,table_name,object_type,comment,column_count,pk,documented
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,bed_rec,TABLE,系统管理-字典类-床位字典,16,"bed_no,ward_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,blood_transfusion,TABLE,病案首页-业务类-输血信息,21,"visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,cchi_dict,TABLE,诊断手术-字典类-CCHI字典表,4,id,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dbz_icuxx,VIEW,,10,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dbz_jbxx,VIEW,,113,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dbz_jbxx0327,VIEW,,113,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dbz_ssxx,VIEW,,23,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dbz_zdxx,VIEW,,15,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_autoupload,TABLE,CDA自动上报设置,14,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_commonconfig,TABLE,CDA列表配置,13,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_dataitemsetting,TABLE,CDA项目配置（信息）,20,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_doctype,TABLE,,3,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_filesetting,TABLE,文件上报配置,18,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_filetype,TABLE,文书类别表,6,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_fileuploadrecord,TABLE,,10,"patient_id,visit_id,doctype,file_unique_id,hospital_no,projectcode",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_goalsettingconfig,TABLE,,4,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_project,TABLE,CDA系统参数,6,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_uploaddetail,TABLE,,19,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_uploadrecord,TABLE,,7,"patient_id,visit_id,projectcode,hospital_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_uploadsplicing,TABLE,信息整合配置,10,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_uploadtask,TABLE,,14,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_uploadtask1,TABLE,,14,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dc_cda_uploadtask_0729,TABLE,,14,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dept_antitheses_dict,TABLE,科室病区-映射类-科室病区关联对照表,7,"ward_code,dept_code",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dept_dict,TABLE,科室病区-字典类-科室字典zt,36,"dept_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dept_dict20240322,TABLE,,36,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diag_comparing,TABLE,病案首页-业务类-患者所属疾病组,5,"diag_compare_group,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis,TABLE,病案首页-业务类-首页诊断,50,"diagnosis_type,diagnosis_no,patient_id,visit_id,id",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_b_dict,TABLE,诊断手术-字典类-诊断中医病名字典,9,serial_no,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_contrast_dict,TABLE,诊断对照表,5,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_dict,TABLE,诊断手术-字典类-诊断字典,35,"diagnosis_name,diagnosis_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_dict20260407,TABLE,,35,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_doct,TABLE,临床诊断V5表-作废类-不再维护 孙朋朋 2022-05-06,14,"patient_id,diagnosis_no,diagnosis_type,visit_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_f_dict,TABLE,诊断手术-字典类-诊断中医治法字典,6,serial_no,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_fzk_dict,TABLE,诊断手术-字典类-诊断分值字典,11,id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_kk,TABLE,诊断卡控表,10,"diagnosis_code,event_name,hospital_no,user_name,user_id,dept_name",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_type_dict,TABLE,诊断手术-字典类-诊断类别字典,5,"diagnosis_type_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_yb_dict,TABLE,医保诊断字典,5,"diagnosis_code,diagnosis_name,hospital_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnosis_z_dict,TABLE,诊断手术-字典类-诊断中医症候字典,9,serial_no,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,diagnostic_category,TABLE,"病案首页-作废类-旧版首页 诊断分两个表存，原V5 孙朋朋 2022-05-06
三明区域部分旧首页",6,"diagnosis_code,diagnosis_no,diagnosis_type,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,dict_operate_log,TABLE,框架表-字典类-操作日志字典表,6,"dict_name,oper_date",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,discharge_summary,VIEW,,11,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,disease_type,TABLE,上报卡管理-字典类-慢病上报卡病种类型表  ,4,item_code,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,doctor_in_charge_log,TABLE,患者设置管床医师,13,id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,doctor_transfer_sql,TABLE,医生交接班-配置类-医师交接班配置表,8,"type_code,pat_type,show_flag,hospital_no,dept_code,display_order,dept_name",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,drg_report_dict,TABLE,,6,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,drg_report_record,TABLE,首页质控报表记录,10,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_adverse_event_info,TABLE,不良事件上报管理-业务类-不良事件上报,31,event_id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_bcjl,VIEW,,7,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_blood_approve,TABLE,北医三院输血申请-业务类-输血申请,19,approve_id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_blood_reaction_detail,TABLE,北医三院输血申请-业务类-北医三院输血详细信息表,12,"patient_id,visit_id,times_no,elem_name",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_blood_reaction_log,TABLE,北医三院输血申请-业务类-北医三院输血记录文件,4,commit_time,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_catalog_dict,TABLE,V5树形目录-作废类-v5的树形目录配置表,15,"catalog_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_certificate_operation_log,TABLE,死亡证明-业务类-死亡证明历次操作记录表,9,"operation_date,certificate_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_certificate_redserial_no,TABLE,死亡证明-配置类-死亡医学证明书红号信息表,8,sect_id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_certificate_serial_no,TABLE,死亡证明-配置类-死亡证明书号段信息表,8,sect_id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_check_xml_node_content,TABLE,病历文书-业务类-检测XML节点内容不能为空,3,"findtext,mr_class,layerno",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_consult_evaluate_answer,TABLE,会诊管理-业务类-会诊质量评价表,13,"visit_id,patient_id,hospital_no,apply_time",True
