from_table,to_table,relation_type,confidence,validation_level,validation_status,note
jhfile.jhmr_file_content_text,jhemr.v_convert_f,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_convert_s,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_diagnosis,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_diagnosis_tohis,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_dg,jhemr.v_discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_first_medical_record,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_dg,jhemr.v_first_medical_record,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_first_medical_record,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_first_medical_record,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_first_postoperative_course_record,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_first_postoperative_course_record,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_first_postoperative_course_record,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_first_postoperative_course_record,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_hisicu,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
report.r_grave_ward_detail,jhemr.v_hisicu,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_hisshoushu,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
report.r_operation_doct,jhemr.v_hisshoushu,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation,jhemr.v_hisshoushu1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_hisshouye,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
report.r_pat_visit,jhemr.v_hisshouye,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_hisshouye,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
report.r_pat_visit1,jhemr.v_hisshouye,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_hiszhenduan,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
report.r_diagnosis_doct,jhemr.v_hiszhenduan,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.v_hiszhenduan,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.v_hiszhenduan1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.v_hiszhenduan1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_hlht,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_hlht,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dc_cda_uploadrecord,jhemr.v_hlht,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.users,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_inp_visit_base,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.users,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_inp_visit_base_opt_bak,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.v_jhicu_evalution_score_his,jhemr.v_jhicu_evalution_last_score,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_care_main,jhemr.v_jhicu_evalution_score_his,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhicu_evalution_score_history,jhemr.v_jhicu_evalution_score_his,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_jhicu_evalution_score_his,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_jhmr_file_index,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jhnis_bp_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.v_jhnis_bp_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
