差异类型,系统,库名,Schema,表名,字段名,来源文件名称,文档内容,实际库内容,风险等级,建议处理,是否需要人工确认
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,TRADE_PRICE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,RETAIL_PRICE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,WHOLESALE_PRICE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,STORE_ID,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,REAL_QUANTITY,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,REAL_TIME,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,REAL_STORAGE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,CHECK_OPER,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,CHECK_INOUT,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,STORAGE_COST,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,WHOLESALE_COST,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,RETAIL_COST,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,MEMO,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,PRODUCT_DATE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,PDA_STATE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,STORE_TYPE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
